Rk,Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk
1,2005,9/11/2005,,,,,,,,,
2,2005,9/18/2005,,,,,,,,,
3,2005,9/25/2005,,,,,,,,,
4,2005,10/3/2005,,,,,,,,,
5,2005,10/9/2005,21.311,1,1,100,0,0,0,79.2,0
6,2005,10/23/2005,,,,,,,,,
7,2005,10/30/2005,,,,,,,,,
8,2005,11/6/2005,,,,,,,,,
9,2005,11/13/2005,,,,,,,,,
10,2005,11/21/2005,,,,,,,,,
11,2005,11/27/2005,,,,,,,,,
12,2005,12/4/2005,,,,,,,,,
13,2005,12/11/2005,,,,,,,,,
14,2005,12/19/2005,22.017,8,15,53.33,65,0,1,36.8,3
15,2005,12/25/2005,,,,,,,,,
16,2005,1/1/2006,22.03,0,0,,0,0,0,,0
17,2006,9/10/2006,,,,,,,,,
18,2006,9/17/2006,,,,,,,,,
19,2006,9/24/2006,,,,,,,,,
20,2006,10/2/2006,22.304,2,3,66.67,14,0,0,77.1,0
21,2006,10/8/2006,,,,,,,,,
22,2006,10/22/2006,,,,,,,,,
23,2006,10/29/2006,,,,,,,,,
24,2006,11/5/2006,,,,,,,,,
25,2006,11/12/2006,,,,,,,,,
26,2006,11/19/2006,22.352,4,12,33.33,32,0,0,42.4,3
27,2006,11/27/2006,,,,,,,,,
28,2006,12/3/2006,,,,,,,,,
29,2006,12/10/2006,,,,,,,,,
30,2006,12/17/2006,,,,,,,,,
31,2006,12/21/2006,,,,,,,,,
32,2006,12/31/2006,,,,,,,,,
33,2007,9/9/2007,,,,,,,,,
34,2007,9/16/2007,,,,,,,,,
35,2007,9/23/2007,,,,,,,,,
36,2007,9/30/2007,,,,,,,,,
37,2007,10/7/2007,,,,,,,,,
38,2007,10/14/2007,,,,,,,,,
39,2007,10/29/2007,,,,,,,,,
40,2007,11/4/2007,,,,,,,,,
41,2007,11/11/2007,23.344,2,2,100,17,0,0,102.1,0
42,2007,11/18/2007,,,,,,,,,
43,2007,11/22/2007,,,,,,,,,
44,2007,11/29/2007,23.362,18,26,69.23,201,1,0,104.8,3
45,2007,12/9/2007,,,,,,,,,
46,2007,12/16/2007,,,,,,,,,
47,2007,12/23/2007,,,,,,,,,
48,2007,12/30/2007,,,,,,,,,
49,2008,9/8/2008,24.281,18,22,81.82,178,1,0,115.5,0
50,2008,9/14/2008,24.287,24,38,63.16,328,3,0,117,1
51,2008,9/21/2008,24.294,22,39,56.41,290,0,0,80.1,5
52,2008,9/28/2008,24.301,14,27,51.85,165,2,3,55.9,3
53,2008,10/5/2008,24.308,25,37,67.57,313,3,1,109.4,2
54,2008,10/12/2008,24.315,21,30,70,208,2,0,111.5,2
55,2008,10/19/2008,24.322,21,28,75,186,1,0,104.2,0
56,2008,11/2/2008,24.336,22,41,53.66,314,1,1,76.7,4
57,2008,11/9/2008,24.343,15,26,57.69,142,0,0,72.9,4
58,2008,11/16/2008,24.35,23,30,76.67,227,2,1,105.8,0
59,2008,11/24/2008,24.358,23,41,56.1,248,2,3,59.8,2
60,2008,11/30/2008,24.364,29,45,64.44,298,3,1,96.3,2
61,2008,12/7/2008,25.005,19,30,63.33,295,2,1,104.2,2
62,2008,12/14/2008,25.012,20,32,62.5,278,1,1,87.8,3
63,2008,12/22/2008,25.02,24,39,61.54,260,2,1,87.6,0
64,2008,12/28/2008,25.026,21,31,67.74,308,3,0,132.2,4
65,2009,9/13/2009,25.285,17,28,60.71,184,1,0,92,4
66,2009,9/20/2009,25.292,21,39,53.85,261,1,0,83.4,6
67,2009,9/27/2009,25.299,13,23,56.52,269,2,0,126.9,2
68,2009,10/5/2009,25.307,26,37,70.27,384,2,1,110.6,8
69,2009,10/18/2009,25.32,29,37,78.38,358,2,1,113.7,5
70,2009,10/25/2009,25.327,15,20,75,246,3,0,155.4,0
71,2009,11/1/2009,25.334,26,41,63.41,287,3,0,108.5,6
72,2009,11/8/2009,25.341,17,35,48.57,266,2,3,57.6,6
73,2009,11/15/2009,25.348,25,36,69.44,189,1,0,91.1,4
74,2009,11/22/2009,25.355,32,45,71.11,344,2,0,108,2
75,2009,11/26/2009,25.359,28,39,71.79,348,3,0,124.7,1
76,2009,12/7/2009,26.005,26,40,65,263,3,2,87.8,1
77,2009,12/13/2009,26.011,16,24,66.67,180,0,0,88.9,3
78,2009,12/20/2009,26.018,26,48,54.17,383,3,0,101.3,1
79,2009,12/27/2009,26.025,12,23,52.17,237,1,0,103,1
80,2009,1/3/2010,26.032,21,26,80.77,235,1,0,117.1,0
81,2010,9/12/2010,26.284,19,31,61.29,188,2,2,73.1,3
82,2010,9/19/2010,26.291,19,29,65.52,255,2,0,116.3,0
83,2010,9/27/2010,26.299,34,45,75.56,316,1,1,92.5,0
84,2010,10/3/2010,26.305,12,17,70.59,181,3,2,105.3,2
85,2010,10/10/2010,26.312,27,46,58.7,293,1,1,75.7,4
