Rk,Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk
1,2023,9/10/2023,21.342,28,44,63.64,242,0,0,78,5
2,2023,9/17/2023,21.349,30,47,63.83,384,2,0,103.5,6
3,2023,9/24/2023,21.356,20,30,66.67,280,2,0,118.7,0
4,2023,10/1/2023,21.363,16,30,53.33,306,2,0,111.2,0
5,2023,10/8/2023,22.005,20,35,57.14,249,1,0,88.9,0
6,2023,10/15/2023,22.012,13,27,48.15,199,2,1,82.2,2
7,2023,10/29/2023,22.026,16,24,66.67,140,0,0,81.9,2
8,2023,11/5/2023,22.033,30,42,71.43,470,5,0,147.8,3
9,2023,11/12/2023,22.04,23,39,58.97,356,1,1,87.1,1
10,2023,11/19/2023,22.047,27,37,72.97,336,2,3,85,3
11,2023,11/26/2023,22.054,26,36,72.22,304,2,0,116,4
12,2023,12/3/2023,22.061,16,27,59.26,274,1,0,106.1,5
13,2023,12/10/2023,22.068,10,23,43.48,91,0,0,54.8,4
16,2023,12/31/2023,22.089,24,32,75,213,1,0,102.7,1
17,2023,1/6/2024,22.095,20,26,76.92,264,2,0,134.1,2
18,2024,9/8/2024,22.341,24,32,75,234,2,0,115.9,4
19,2024,9/15/2024,22.348,23,36,63.89,260,1,0,94.7,3
20,2024,9/22/2024,22.355,20,31,64.52,215,1,2,68.6,4
21,2024,9/29/2024,22.362,27,40,67.5,345,2,0,110.9,2
22,2024,10/6/2024,23.003,28,38,73.68,331,1,1,97.6,1
23,2024,10/13/2024,23.01,20,31,64.52,192,3,1,100.5,2
24,2024,10/20/2024,23.017,10,21,47.62,86,0,0,58.8,4
25,2024,10/27/2024,23.024,25,37,67.57,285,1,0,99.5,2
26,2024,10/31/2024,23.028,11,30,36.67,191,0,0,59.2,8
27,2024,11/10/2024,23.038,19,33,57.58,232,1,2,64.2,4
28,2024,11/18/2024,23.046,23,34,67.65,257,0,1,88,1
