Rk,Year,Date,Week,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk
1,2016,9/12/2016,1,,,,,,,,,
2,2016,9/18/2016,2,,,,,,,,,
3,2016,9/25/2016,3,,,,,,,,,
4,2016,10/2/2016,4,,,,,,,,,
5,2016,10/9/2016,5,,,,,,,,,
6,2016,10/16/2016,6,,,,,,,,,
7,2016,10/23/2016,7,,,,,,,,,
8,2016,11/6/2016,9,,,,,,,,,
9,2016,11/13/2016,10,,,,,,,,,
10,2016,11/20/2016,11,22.037,17,31,54.84,134,0,0,65.8,1
11,2016,11/27/2016,12,22.044,20,32,62.5,214,3,1,100.3,3
12,2016,12/4/2016,13,22.051,14,32,43.75,161,1,2,43.9,4
13,2016,12/11/2016,14,22.058,24,41,58.54,235,0,2,54.4,3
14,2016,12/15/2016,15,22.062,13,25,52,135,0,0,67.9,4
15,2016,12/24/2016,16,22.071,11,24,45.83,90,1,2,35.1,4
16,2016,1/1/2017,17,22.079,13,20,65,120,0,0,81.2,7
17,2017,9/10/2017,1,22.331,21,29,72.41,306,1,0,117.9,1
18,2017,9/17/2017,2,22.338,14,24,58.33,219,1,1,85.2,2
19,2017,9/21/2017,3,22.342,22,28,78.57,292,3,0,145.8,0
20,2017,10/1/2017,4,22.352,21,36,58.33,255,2,0,98.7,1
21,2017,10/8/2017,5,22.359,22,47,46.81,288,0,2,48.9,2
22,2017,10/15/2017,6,23.001,11,21,52.38,124,1,0,86.2,3
23,2017,10/22/2017,7,23.008,22,37,59.46,235,1,1,75.8,1
24,2017,11/5/2017,9,23.022,14,22,63.64,311,4,0,146.8,0
25,2017,11/12/2017,10,23.029,25,37,67.57,355,3,0,125.4,3
26,2017,11/19/2017,11,23.036,23,37,62.16,225,0,0,79.2,2
27,2017,11/26/2017,12,23.043,28,43,65.12,354,2,1,96.5,4
28,2017,12/3/2017,13,23.05,21,31,67.74,220,2,1,96.2,1
29,2017,12/10/2017,14,23.057,16,26,61.54,199,2,0,110.9,2
30,2017,12/17/2017,15,23.064,14,21,66.67,120,2,1,93.4,2
31,2017,12/24/2017,16,23.071,22,38,57.89,301,4,0,118.4,1
32,2017,12/31/2017,17,,,,,,,,,
33,2018,9/10/2018,1,23.331,18,33,54.55,233,2,0,97.2,1
34,2018,9/16/2018,2,23.337,24,32,75,354,1,1,108.1,2
35,2018,9/23/2018,3,23.344,29,36,80.56,354,3,1,123.8,1
36,2018,9/27/2018,4,23.348,26,33,78.79,465,5,0,158.3,1
37,2018,10/7/2018,5,23.358,23,32,71.88,321,1,2,88.2,1
38,2018,10/14/2018,6,24,14,28,50,201,0,1,58.8,5
39,2018,10/21/2018,7,24.007,18,24,75,202,2,0,127.4,1
40,2018,10/28/2018,8,24.014,19,35,54.29,295,3,0,111,5
41,2018,11/4/2018,9,24.021,28,40,70,391,3,1,115.7,0
42,2018,11/11/2018,10,24.028,28,39,71.79,318,2,0,113,2
43,2018,11/19/2018,11,24.036,31,49,63.27,413,4,0,117.1,5
44,2018,12/2/2018,13,24.049,17,33,51.52,207,1,1,68.6,2
45,2018,12/9/2018,14,24.056,20,44,45.45,180,0,4,19.1,3
46,2018,12/16/2018,15,24.063,35,53,66.04,339,0,1,75.9,2
47,2018,12/23/2018,16,24.07,19,24,79.17,216,1,0,118.1,2
48,2018,12/30/2018,17,24.077,15,26,57.69,199,4,0,121.6,0
49,2019,9/8/2019,1,24.329,23,39,58.97,186,1,1,69,1
