Rk,Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk
1,2018,9/9/2018,21.245,1,4,25,24,0,0,52.1,1
7,2018,10/21/2018,21.287,1,1,100,5,0,0,87.5,0
8,2018,10/28/2018,21.294,4,5,80,46,1,0,144.6,0
9,2018,11/4/2018,21.301,1,1,100,12,0,0,116.7,0
10,2018,11/18/2018,21.315,13,19,68.42,150,0,1,70.1,3
11,2018,11/25/2018,21.322,14,25,56,178,1,2,58.4,1
12,2018,12/2/2018,21.329,12,21,57.14,125,0,0,74.5,2
13,2018,12/9/2018,21.336,13,24,54.17,147,2,0,100.5,2
14,2018,12/16/2018,21.343,14,23,60.87,131,1,0,91,2
15,2018,12/22/2018,21.349,12,22,54.55,204,1,0,101.3,3
16,2018,12/30/2018,21.357,14,24,58.33,179,0,0,81.8,2
17,2019,9/8/2019,22.244,17,20,85,324,5,0,158.3,1
18,2019,9/15/2019,22.251,24,37,64.86,272,2,0,104.8,2
19,2019,9/22/2019,22.258,22,43,51.16,267,0,0,70.6,3
20,2019,9/29/2019,22.265,24,34,70.59,247,3,2,96.1,4
21,2019,10/6/2019,22.272,19,28,67.86,161,1,3,54.9,5
22,2019,10/13/2019,22.279,21,33,63.64,236,0,0,84.9,1
23,2019,10/20/2019,22.286,9,20,45,143,0,0,69.4,1
24,2019,11/3/2019,22.3,17,23,73.91,163,1,0,107.7,1
25,2019,11/10/2019,22.307,15,17,88.24,223,3,0,158.3,0
26,2019,11/17/2019,22.314,17,24,70.83,222,4,0,139.2,0
27,2019,11/25/2019,22.322,15,20,75,169,5,0,139.4,2
28,2019,12/1/2019,22.328,14,23,60.87,105,1,0,86.3,1
29,2019,12/8/2019,22.335,16,25,64,145,3,1,102.5,1
30,2019,12/12/2019,22.339,15,23,65.22,212,5,0,134.4,1
31,2019,12/22/2019,22.349,20,31,64.52,238,3,0,120.1,0
32,2019,12/29/2019,,,,,,,,,
33,2020,9/13/2020,23.25,20,25,80,275,3,0,152.1,2
34,2020,9/20/2020,23.257,18,24,75,204,1,0,113.9,4
35,2020,9/28/2020,23.265,15,28,53.57,97,1,0,73.1,4
36,2020,10/4/2020,23.271,14,21,66.67,193,2,1,107.8,1
37,2020,10/11/2020,23.278,19,37,51.35,180,2,1,71.9,1
38,2020,10/18/2020,23.285,16,27,59.26,186,1,0,92.5,3
39,2020,11/1/2020,23.299,13,28,46.43,208,2,2,65.8,4
40,2020,11/8/2020,23.306,19,23,82.61,170,0,0,97.5,2
41,2020,11/15/2020,23.313,24,34,70.59,249,2,1,98.8,2
42,2020,11/22/2020,23.32,17,29,58.62,186,1,1,74.8,1
43,2020,12/2/2020,,,,,,,,,
44,2020,12/8/2020,23.336,12,17,70.59,107,2,1,101.8,0
45,2020,12/14/2020,23.342,11,17,64.71,163,1,0,115.6,4
46,2020,12/20/2020,23.348,17,22,77.27,243,3,1,133.1,1
47,2020,12/27/2020,23.355,17,26,65.38,183,2,0,111.5,0
48,2020,1/3/2021,23.362,10,18,55.56,113,3,1,91,0
49,2021,9/13/2021,24.249,19,30,63.33,235,1,0,98.6,3
50,2021,9/19/2021,24.255,18,26,69.23,239,1,2,78.8,1
51,2021,9/26/2021,24.262,16,31,51.61,287,1,1,81,4
52,2021,10/3/2021,24.269,22,37,59.46,316,1,0,96.2,3
53,2021,10/11/2021,24.277,37,43,86.05,442,4,0,140.5,2
54,2021,10/17/2021,24.283,19,27,70.37,167,1,2,68,3
55,2021,10/24/2021,24.29,15,31,48.39,257,1,0,87.7,5
56,2021,11/7/2021,24.304,27,41,65.85,266,3,2,88.1,3
57,2021,11/11/2021,24.308,26,43,60.47,238,1,1,73.6,4
58,2021,11/21/2021,,,,,,,,,
59,2021,11/28/2021,24.325,20,32,62.5,165,1,4,46.5,2
60,2021,12/5/2021,24.332,23,37,62.16,253,1,1,80.1,7
61,2021,12/12/2021,24.339,4,4,100,17,0,0,84.4,1
62,2021,12/19/2021,,,,,,,,,
63,2021,12/26/2021,,,,,,,,,
64,2021,1/2/2022,,,,,,,,,
65,2021,1/9/2022,,,,,,,,,
66,2022,9/11/2022,25.247,17,30,56.67,213,3,1,98.3,2
67,2022,9/18/2022,25.254,21,29,72.41,318,3,0,142.6,0
68,2022,9/25/2022,25.261,18,29,62.07,218,4,1,110.3,4
69,2022,10/2/2022,25.268,20,29,68.97,144,1,2,63,2
70,2022,10/9/2022,25.275,19,32,59.38,174,1,1,71.6,1
71,2022,10/16/2022,25.282,17,32,53.13,210,1,1,71.1,2
72,2022,10/23/2022,25.289,9,16,56.25,120,0,0,80.2,3
73,2022,10/27/2022,25.293,27,38,71.05,238,2,0,104.9,3
74,2022,11/7/2022,25.304,12,22,54.55,133,1,0,87.9,3
75,2022,11/20/2022,25.317,24,33,72.73,209,0,1,76.5,3
76,2022,11/27/2022,25.324,16,32,50,254,1,0,87.2,1
77,2022,12/4/2022,25.331,3,4,75,11,0,0,77.1,2
78,2022,12/11/2022,,,,,,,,,
79,2022,12/17/2022,,,,,,,,,
80,2022,12/24/2022,,,,,,,,,
81,2022,1/1/2023,,,,,,,,,
82,2022,1/8/2023,,,,,,,,,
83,2023,9/10/2023,26.246,17,22,77.27,169,0,1,79.5,4
84,2023,9/17/2023,26.253,24,33,72.73,237,2,0,112.8,0
85,2023,9/24/2023,26.26,22,31,70.97,202,0,0,88.4,4
86,2023,10/1/2023,26.267,15,19,78.95,186,2,0,142.5,3
87,2023,10/8/2023,26.274,22,38,57.89,236,0,1,65.2,4
88,2023,10/15/2023,26.281,21,30,70,223,1,1,88.6,1
89,2023,10/22/2023,26.288,21,27,77.78,357,3,0,155.8,0
90,2023,10/29/2023,26.295,18,27,66.67,157,1,0,94.2,4
91,2023,11/5/2023,26.302,21,26,80.77,187,0,0,96.6,1
92,2023,11/12/2023,26.309,13,23,56.52,223,1,2,67.8,3
93,2023,11/16/2023,26.313,16,26,61.54,264,2,0,121.3,3
94,2023,11/26/2023,26.323,18,32,56.25,177,1,0,82.4,2
95,2023,12/10/2023,26.337,24,43,55.81,316,3,1,92.8,2
96,2023,12/17/2023,26.344,14,24,58.33,171,1,1,76.9,3
97,2023,12/25/2023,26.352,23,35,65.71,252,2,0,105.9,2
98,2023,12/31/2023,26.358,18,21,85.71,321,5,0,158.3,1
99,2023,1/6/2024,,,,,,,,,
100,2024,9/5/2024,27.242,26,41,63.41,273,1,0,90.8,1
101,2024,9/15/2024,27.252,21,34,61.76,247,1,1,81.4,2
102,2024,9/22/2024,27.259,12,15,80,182,1,0,139.4,0
103,2024,9/29/2024,27.266,13,18,72.22,156,2,0,135.4,1
104,2024,10/6/2024,27.273,26,42,61.9,348,4,0,119.9,1
105,2024,10/13/2024,27.28,20,26,76.92,323,1,1,114.7,2
106,2024,10/21/2024,27.288,17,22,77.27,281,5,0,158.1,2
107,2024,10/27/2024,27.294,23,38,60.53,289,2,0,101.8,3
108,2024,11/3/2024,27.301,16,19,84.21,280,3,0,158.3,1
109,2024,11/7/2024,27.305,25,33,75.76,290,4,0,141.4,0
110,2024,11/17/2024,27.315,16,33,48.48,207,1,1,66.1,2
